TICID,Camera,CCD,Tmag,RA,Dec,sector
342443350,4,1,7.84,326.8983,58.2821,76
343019899,4,4,10.06,334.5043,54.3191,76
343176006,3,4,16.15,309.4557,62.6352,76
343177602,3,4,6.63,309.2834,61.3643,76
343333748,4,1,5.6,310.0747,60.5065,76
343409358,3,4,8.06,310.1266,63.5856,76
343411197,3,4,8.01,310.0254,65.2719,76
343462635,3,4,8.03,310.4889,62.1324,76
343819979,4,1,8.11,316.6075,56.7786,76
345513821,4,4,8.26,326.743,45.4472,76
351204285,4,3,15.19,310.7814,39.8945,76
351926768,4,2,8.12,304.9922,49.4403,76
352231834,3,3,16.41,291.8547,56.7492,76
352300400,3,3,6.1,297.0646,59.4237,76
352370090,3,3,7.21,297.3006,57.4089,76
352371331,3,3,16.31,297.2937,58.5331,76
352550826,4,2,12.63,306.3633,57.4844,76
352697056,3,4,8.25,308.2627,61.139,76
352764091,3,4,8.59,308.7478,63.4747,76
352893817,4,3,8.13,321.5072,39.9005,76
352975223,4,3,16.63,312.3107,42.2728,76
353092646,4,3,8.06,312.1626,44.3134,76
353093833,4,3,13.85,312.2929,44.5463,76
353096380,4,3,15.6,312.2611,45.0101,76
353622691,4,4,13.09,330.6804,42.2778,76
353735596,3,2,16.11,276.2184,57.7899,76
353741877,4,1,7.97,330.2641,55.9987,76
353855388,3,2,7.29,271.0013,55.2723,76
353895571,3,2,8.04,271.7146,57.7583,76
353895732,3,2,15.52,271.6913,58.1476,76
353896872,3,2,7.91,271.9027,58.9766,76
353984722,4,1,7.3,330.951,55.8497,76
354034280,1,2,16.68,189.3973,50.4668,76
354081123,1,2,8.09,190.3549,50.2445,76
355835556,1,2,16.29,201.9209,57.9198,76
355835562,1,2,8.08,201.8548,57.8879,76
355835851,1,2,7.72,201.8763,56.0223,76
355897123,2,3,16.17,201.1459,62.4435,76
355916910,2,3,5.85,201.4935,63.2628,76
355929057,2,4,8.52,218.4733,58.4595,76
356056062,3,1,7.58,254.3016,71.4638,76
356519613,4,3,14.39,312.7537,44.5305,76
356605616,4,3,15.48,312.7639,44.4043,76
356605777,4,3,16.21,312.654,44.3613,76
